caldt,vwretd,vwretx
1925-12-31,,
1926-12-31,0.098488,0.043046
1927-12-31,0.328720,0.266483
1928-12-31,0.391397,0.337056
1929-12-31,-0.150955,-0.182395
1930-12-31,-0.289005,-0.321455
1931-12-31,-0.443880,-0.476975
1932-12-31,-0.079448,-0.140667
1933-12-30,0.574131,0.509127
1934-12-31,0.031846,-0.009581
1935-12-31,0.454487,0.395966
1936-12-31,0.323153,0.266819
1937-12-31,-0.346044,-0.380994
1938-12-31,0.284359,0.230260
1939-12-30,0.018435,-0.028978
1940-12-31,-0.075104,-0.127508
1941-12-31,-0.100387,-0.161102
1942-12-31,0.167218,0.090504
1943-12-31,0.279687,0.215980
1944-12-30,0.213640,0.154754
1945-12-31,0.390593,0.335428
1946-12-31,-0.064212,-0.101652
1947-12-31,0.032933,-0.022830
1948-12-31,0.021313,-0.040738
1949-12-31,0.201096,0.121244
1950-12-30,0.304730,0.217426
1951-12-31,0.209441,0.142646
1952-12-31,0.133324,0.074015
1953-12-31,0.003843,-0.050273
1954-12-31,0.504120,0.433636
1955-12-30,0.254135,0.204040
1956-12-31,0.085817,0.043745
1957-12-31,-0.103484,-0.140687
1958-12-31,0.447759,0.392664
1959-12-31,0.126462,0.090692
1960-12-30,0.012089,-0.021911
1961-12-29,0.269605,0.233137
1962-12-31,-0.103120,-0.132911
1963-12-31,0.208877,0.170997
1964-12-31,0.163038,0.128491
1965-12-31,0.143859,0.109939
1966-12-30,-0.086888,-0.116818
1967-12-29,0.285664,0.247257
1968-12-31,0.141686,0.109206
1969-12-31,-0.108360,-0.135108
1970-12-31,0.000732,-0.034062
1971-12-31,0.161989,0.128146
1972-12-29,0.173406,0.142560
1973-12-31,-0.187497,-0.211787
1974-12-31,-0.279413,-0.310613
1975-12-31,0.373579,0.318178
1976-12-31,0.267803,0.219256
1977-12-30,-0.029696,-0.072921
1978-12-29,0.085462,0.032911
1979-12-31,0.244143,0.182911
1980-12-31,0.332394,0.271272
1981-12-31,-0.039875,-0.083576
1982-12-31,0.204221,0.142454
1983-12-30,0.226468,0.178842
1984-12-31,0.031642,-0.011466
1985-12-31,0.314116,0.264618
1986-12-31,0.155628,0.117892
1987-12-31,0.018312,-0.013570
1988-12-30,0.175550,0.129828
1989-12-29,0.284330,0.240277
1990-12-31,-0.060818,-0.093859
1991-12-31,0.336459,0.296376
1992-12-31,0.090630,0.061165
1993-12-31,0.115863,0.087971
1994-12-30,-0.007460,-0.032716
1995-12-29,0.356624,0.324990
1996-12-31,0.211739,0.187648
1997-12-31,0.303444,0.281790
1998-12-31,0.222446,0.204872
1999-12-31,0.252721,0.236537
2000-12-29,-0.111598,-0.121406
2001-12-31,-0.112696,-0.124474
2002-12-31,-0.208339,-0.221018
2003-12-31,0.331419,0.307861
2004-12-31,0.129912,0.108413
2005-12-30,0.073041,0.053772
2006-12-29,0.162271,0.140649
2007-12-31,0.072871,0.052841
2008-12-31,-0.383286,-0.397572
2009-12-31,0.316530,0.284358
2010-12-31,0.178885,0.154049
2011-12-30,-0.009407,-0.029774
2012-12-31,0.159980,0.131351
2013-12-31,0.316823,0.288865
2014-12-31,0.108102,0.085417
2015-12-31,-0.015908,-0.036961
2016-12-30,0.129270,0.104065
2017-12-29,0.209001,0.184480
2018-12-31,-0.062069,-0.081384
2019-12-31,0.297470,0.271163
2020-12-31,0.213744,0.191261
2021-12-31,0.235721,0.218014
2022-12-30,-0.198496,-0.212394
2023-12-29,0.250949,0.229147
