caldt,t90ret
1925-12-31,
1926-12-31,0.036026
1927-12-31,0.030917
1928-12-31,0.044427
1929-12-31,0.049219
1930-12-31,0.027487
1931-12-31,0.007070
1932-12-31,0.008713
1933-12-30,0.004655
1934-12-31,0.003301
1935-12-31,0.001619
1936-12-31,0.001860
1937-12-31,0.004442
1938-12-31,0.000436
1939-12-30,0.000173
1940-12-31,0.000192
1941-12-31,-0.006810
1942-12-31,0.003953
1943-12-31,0.004073
1944-12-30,0.003977
1945-12-31,0.003996
1946-12-31,0.003822
1947-12-31,0.005704
1948-12-31,0.008594
1949-12-30,0.011408
1950-12-29,0.012003
1951-12-31,0.015681
1952-12-31,0.019072
1953-12-31,0.022213
1954-12-31,0.011279
1955-12-30,0.015976
1956-12-31,0.027779
1957-12-31,0.037516
1958-12-31,0.020534
1959-12-31,0.035866
1960-12-30,0.038432
1961-12-29,0.025207
1962-12-31,0.029415
1963-12-31,0.032567
1964-12-31,0.037699
1965-12-31,0.040695
1966-12-30,0.052043
1967-12-29,0.047437
1968-12-31,0.055497
1969-12-31,0.069772
1970-12-31,0.078257
1971-12-31,0.049409
1972-12-29,0.042116
1973-12-31,0.071537
1974-12-31,0.085117
1975-12-31,0.068647
1976-12-31,0.056758
1977-12-30,0.054138
1978-12-29,0.073612
1979-12-31,0.106025
1980-12-31,0.125936
1981-12-31,0.164605
1982-12-31,0.131985
1983-12-30,0.093317
1984-12-31,0.111154
1985-12-31,0.085266
1986-12-31,0.067499
1987-12-31,0.066396
1988-12-30,0.068606
1989-12-29,0.090311
1990-12-31,0.084378
1991-12-31,0.063854
1992-12-31,0.039166
1993-12-31,0.032480
1994-12-30,0.042775
1995-12-29,0.060922
1996-12-31,0.054145
1997-12-31,0.054943
1998-12-31,0.053026
1999-12-31,0.049227
2000-12-29,0.061522
2001-12-31,0.044809
2002-12-31,0.017951
2003-12-31,0.011604
2004-12-31,0.013080
2005-12-30,0.030790
2006-12-29,0.048354
2007-12-31,0.050863
2008-12-31,0.020446
2009-12-31,0.002232
2010-12-31,0.001286
2011-12-30,0.000990
2012-12-31,0.001079
2013-12-31,0.000817
2014-12-31,0.000498
2015-12-31,0.000611
2016-12-30,0.003544
2017-12-29,0.008854
2018-12-31,0.018767
2019-12-31,0.022608
2020-12-31,0.006920
2021-12-31,0.000665
2022-12-30,0.013825
2023-12-29,0.049512
